"Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
2022-07-05 11:30:00,"Malek M.","Svoboda P.",1,3,5,11,11,9,11,13,8,11,NA,NA,0
2022-07-05 11:30:00,"Vrabec M.","Varcl J.",1,3,11,5,9,11,8,11,10,12,NA,NA,0
2022-07-05 12:00:00,"Klimenta M.","Pusch F.",2,3,7,11,12,10,6,11,11,8,10,12,0
2022-07-05 12:00:00,"Tecl T.","Malek M.",2,3,7,11,11,7,2,11,13,11,7,11,0
2022-07-05 12:00:00,"Vrabec M.","Varcl J.",2,3,11,6,8,11,7,11,11,8,6,11,0
2022-07-05 12:00:00,"Zaskodny M.","Sedlacek M.",3,1,11,6,11,6,9,11,11,7,NA,NA,1
2022-07-05 12:30:00,"Dvorak M.","Svoboda P.",3,0,11,7,12,10,11,8,NA,NA,NA,NA,1
2022-07-05 12:30:00,"Kanera J.","Batthyany T.",3,0,11,8,11,8,11,5,NA,NA,NA,NA,1
2022-07-05 12:30:00,"Nohejl V.","Klimenta M.",3,0,11,4,11,5,12,10,NA,NA,NA,NA,1
2022-07-05 12:30:00,"Plachta J.","Graf J.",3,2,4,11,13,11,9,11,13,11,11,8,1
2022-07-05 13:00:00,"Brozik K.","Kutifel J.",0,3,2,11,6,11,10,12,NA,NA,NA,NA,0
2022-07-05 13:00:00,"Janca M.","Skvrna J.",3,1,9,11,11,7,11,9,11,9,NA,NA,1
2022-07-05 13:00:00,"Klapa V.","Cernik J.",1,3,6,11,11,5,5,11,7,11,NA,NA,0
2022-07-05 13:00:00,"Smrcek M.","Grill J.",2,3,11,8,9,11,12,10,10,12,9,11,0
2022-07-05 13:30:00,"Cvecek M.","Sejk P.",3,1,10,12,11,3,11,9,11,4,NA,NA,1
2022-07-05 13:30:00,"Knybel K.","Vicherek P.",0,3,2,11,6,11,5,11,NA,NA,NA,NA,0
2022-07-05 13:30:00,"Kucirek O.","Regner M.",3,0,11,4,11,7,11,7,NA,NA,NA,NA,1
2022-07-05 13:30:00,"Skokan V.","Batthyany T.",0,3,7,11,11,13,6,11,NA,NA,NA,NA,0
2022-07-05 14:00:00,"Cernik J.","Cvecek M.",3,0,11,8,11,6,13,11,NA,NA,NA,NA,1
2022-07-05 14:00:00,"Grill J.","Kucirek O.",1,3,11,7,8,11,6,11,9,11,NA,NA,0
2022-07-05 14:00:00,"Kutifel J.","Skokan V.",3,2,4,11,5,11,11,8,11,4,11,8,1
2022-07-05 14:00:00,"Skvrna J.","Knybel K.",0,3,10,12,7,11,9,11,NA,NA,NA,NA,0
2022-07-05 14:30:00,"Batthyany T.","Brozik K.",3,0,11,4,11,8,11,5,NA,NA,NA,NA,1
2022-07-05 14:30:00,"Regner M.","Smrcek M.",3,1,11,7,11,9,3,11,11,7,NA,NA,1
2022-07-05 14:30:00,"Sejk P.","Klapa V.",0,3,13,15,8,11,3,11,NA,NA,NA,NA,0
2022-07-05 14:30:00,"Vicherek P.","Janca M.",2,3,11,8,5,11,7,11,11,5,4,11,0
2022-07-05 15:00:00,"Brozik K.","Skokan V.",1,3,7,11,11,8,5,11,7,11,NA,NA,0
2022-07-05 15:00:00,"Janca M.","Knybel K.",3,1,11,7,13,11,8,11,11,8,NA,NA,1
2022-07-05 15:00:00,"Klapa V.","Cvecek M.",2,3,6,11,11,7,10,12,11,1,10,12,0
2022-07-05 15:00:00,"Smrcek M.","Kucirek O.",2,3,11,8,11,8,7,11,8,11,10,12,0
2022-07-05 15:30:00,"Cernik J.","Sejk P.",3,1,11,5,11,6,5,11,11,7,NA,NA,1
2022-07-05 15:30:00,"Grill J.","Regner M.",1,3,5,11,7,11,11,6,13,15,NA,NA,0
2022-07-05 15:30:00,"Kutifel J.","Batthyany T.",3,2,2,11,12,10,11,2,8,11,11,8,1
2022-07-05 15:30:00,"Skvrna J.","Vicherek P.",3,1,12,10,6,11,13,11,11,5,NA,NA,1
2022-07-05 16:00:00,"Grill J.","Smrcek M.",3,2,5,11,12,10,2,11,11,9,12,10,1
2022-07-05 16:00:00,"Klapa V.","Sejk P.",3,0,11,2,11,7,11,9,NA,NA,NA,NA,1
2022-07-05 16:00:00,"Knybel K.","Skvrna J.",0,3,3,11,7,11,6,11,NA,NA,NA,NA,0
2022-07-05 16:00:00,"Skokan V.","Brozik K.",3,0,11,6,11,8,11,9,NA,NA,NA,NA,1
2022-07-05 16:30:00,"Cernik J.","Cvecek M.",3,1,5,11,11,4,11,8,11,6,NA,NA,1
2022-07-05 16:30:00,"Janca M.","Vicherek P.",1,3,11,8,9,11,8,11,9,11,NA,NA,0
2022-07-05 16:30:00,"Kucirek O.","Regner M.",3,2,11,5,11,7,7,11,7,11,12,10,1
2022-07-05 16:30:00,"Kutifel J.","Batthyany T.",3,0,11,6,11,6,11,9,NA,NA,NA,NA,1
2022-07-05 17:00:00,"Dzida J.","Kratochvil M.",3,2,8,11,11,7,6,11,11,9,12,10,1
2022-07-05 17:00:00,"Jindrak L.","Kutifel J.",2,3,9,11,11,6,6,11,11,2,8,11,0
2022-07-05 17:00:00,"Kopecny M.","Pelikan L.",1,3,11,7,10,12,7,11,10,12,NA,NA,0
2022-07-05 17:00:00,"Korp Jr. P.","Pycha P.",1,3,11,7,4,11,5,11,8,11,NA,NA,0
2022-07-05 17:30:00,"Biolek M.","Janca M.",3,0,14,12,11,8,11,4,NA,NA,NA,NA,1
2022-07-05 17:30:00,"Kliuchuk R.","Urban M.",0,3,4,11,9,11,7,11,NA,NA,NA,NA,0
2022-07-05 17:30:00,"Nevrtal Z.","Klapa V.",1,3,3,11,6,11,11,8,10,12,NA,NA,0
